killall gaserver gzclient roslaunch roscore rosmaster
EP 76 - 31 timesteps - Cumulated R: -136   Eps=0.55     Time: 0:06:53
EP 77 - 28 timesteps - Cumulated R: -116   Eps=0.54     Time: 0:06:57
EP 78 - 15 timesteps - Cumulated R: -163   Eps=0.54     Time: 0:07:00
EP 79 - 22 timesteps - Cumulated R: -141   Eps=0.53     Time: 0:07:04
EP 80 - 24 timesteps - Cumulated R: -144   Eps=0.53     Time: 0:07:09
EP 81 - 67 timesteps - Cumulated R: -23   Eps=0.53     Time: 0:07:20
EP 82 - 39 timesteps - Cumulated R: -117   Eps=0.52     Time: 0:07:27
EP 83 - 39 timesteps - Cumulated R: -103   Eps=0.52     Time: 0:07:34
EP 84 - 30 timesteps - Cumulated R: -116   Eps=0.51     Time: 0:07:41
EP 85 - 188 timesteps - Cumulated R: 276   Eps=0.51     Time: 0:08:16
EP 86 - 31 timesteps - Cumulated R: -138   Eps=0.51     Time: 0:08:22
EP 87 - 40 timesteps - Cumulated R: -81   Eps=0.5     Time: 0:08:31
EP 88 - 38 timesteps - Cumulated R: -101   Eps=0.5     Time: 0:08:40
EP 89 - 39 timesteps - Cumulated R: -122   Eps=0.49     Time: 0:08:49
EP 90 - 38 timesteps - Cumulated R: -122   Eps=0.49     Time: 0:08:58
EP 91 - 39 timesteps - Cumulated R: -111   Eps=0.49     Time: 0:09:06
EP 92 - 65 timesteps - Cumulated R: -19   Eps=0.48     Time: 0:09:20
EP 93 - 31 timesteps - Cumulated R: -118   Eps=0.48     Time: 0:09:27
EP 94 - 69 timesteps - Cumulated R: -54   Eps=0.47     Time: 0:09:41
EP 95 - 367 timesteps - Cumulated R: 854   Eps=0.47     Time: 0:11:08
EP 96 - 165 timesteps - Cumulated R: 303   Eps=0.47     Time: 0:11:47
EP 97 - 68 timesteps - Cumulated R: 5   Eps=0.46     Time: 0:12:00
EP 98 - 64 timesteps - Cumulated R: -7   Eps=0.46     Time: 0:12:11
EP 99 - 61 timesteps - Cumulated R: -8   Eps=0.46     Time: 0:12:22
EP 100 - 46 timesteps - Cumulated R: -73   Eps=0.45     Time: 0:12:32
EP 101 - 201 timesteps - Cumulated R: 437   Eps=0.45     Time: 0:13:12
EP 102 - 243 timesteps - Cumulated R: 552   Eps=0.44     Time: 0:13:56
EP 103 - 32 timesteps - Cumulated R: -107   Eps=0.44     Time: 0:14:02
EP 104 - 133 timesteps - Cumulated R: 197   Eps=0.44     Time: 0:14:27
EP 105 - 61 timesteps - Cumulated R: -16   Eps=0.43     Time: 0:14:37
EP 106 - 172 timesteps - Cumulated R: 311   Eps=0.43     Time: 0:15:13
EP 107 - 43 timesteps - Cumulated R: -77   Eps=0.43     Time: 0:15:22
EP 108 - 59 timesteps - Cumulated R: -8   Eps=0.42     Time: 0:15:34
EP 109 - 197 timesteps - Cumulated R: 424   Eps=0.42     Time: 0:16:15
EP 110 - 41 timesteps - Cumulated R: -79   Eps=0.42     Time: 0:16:22
EP 111 - 28 timesteps - Cumulated R: -138   Eps=0.41     Time: 0:16:27
EP 112 - 115 timesteps - Cumulated R: 138   Eps=0.41     Time: 0:16:48
EP 113 - 32 timesteps - Cumulated R: -106   Eps=0.41     Time: 0:16:54
EP 114 - 40 timesteps - Cumulated R: -73   Eps=0.4     Time: 0:17:01
EP 115 - 162 timesteps - Cumulated R: 263   Eps=0.4     Time: 0:17:30
EP 116 - 60 timesteps - Cumulated R: -16   Eps=0.4     Time: 0:17:41
EP 117 - 42 timesteps - Cumulated R: -91   Eps=0.39     Time: 0:17:49
EP 118 - 243 timesteps - Cumulated R: 577   Eps=0.39     Time: 0:18:39
EP 119 - 44 timesteps - Cumulated R: -47   Eps=0.39     Time: 0:18:50
EP 120 - 170 timesteps - Cumulated R: 298   Eps=0.38     Time: 0:19:35
EP 121 - 172 timesteps - Cumulated R: 304   Eps=0.38     Time: 0:20:11
EP 122 - 30 timesteps - Cumulated R: -108   Eps=0.38     Time: 0:20:17
EP 123 - 59 timesteps - Cumulated R: -20   Eps=0.38     Time: 0:20:31
EP 124 - 26 timesteps - Cumulated R: -123   Eps=0.37     Time: 0:20:39
EP 125 - 115 timesteps - Cumulated R: 158   Eps=0.37     Time: 0:21:05
EP 126 - 31 timesteps - Cumulated R: -110   Eps=0.37     Time: 0:21:12
EP 127 - 30 timesteps - Cumulated R: -117   Eps=0.36     Time: 0:21:19
EP 128 - 62 timesteps - Cumulated R: 2   Eps=0.36     Time: 0:21:32
EP 129 - 119 timesteps - Cumulated R: 160   Eps=0.36     Time: 0:21:58
EP 130 - 54 timesteps - Cumulated R: -38   Eps=0.35     Time: 0:22:10
EP 131 - 41 timesteps - Cumulated R: -76   Eps=0.35     Time: 0:22:18
EP 132 - 216 timesteps - Cumulated R: 489   Eps=0.35     Time: 0:23:07
EP 133 - 121 timesteps - Cumulated R: 142   Eps=0.35     Time: 0:23:33
EP 134 - 244 timesteps - Cumulated R: 484   Eps=0.34     Time: 0:24:29
EP 135 - 71 timesteps - Cumulated R: 14   Eps=0.34     Time: 0:24:47
EP 136 - 185 timesteps - Cumulated R: 270   Eps=0.34     Time: 0:25:28
EP 137 - 245 timesteps - Cumulated R: 537   Eps=0.34     Time: 0:26:25
EP 138 - 122 timesteps - Cumulated R: 129   Eps=0.33     Time: 0:26:57
EP 139 - 230 timesteps - Cumulated R: 403   Eps=0.33     Time: 0:27:59
EP 140 - 121 timesteps - Cumulated R: 91   Eps=0.33     Time: 0:28:32
EP 141 - 35 timesteps - Cumulated R: -95   Eps=0.32     Time: 0:28:42
EP 142 - 231 timesteps - Cumulated R: 415   Eps=0.32     Time: 0:29:35
EP 143 - 60 timesteps - Cumulated R: -12   Eps=0.32     Time: 0:29:46
EP 144 - 70 timesteps - Cumulated R: 15   Eps=0.32     Time: 0:30:01
EP 145 - 501 timesteps - Cumulated R: 1163   Eps=0.31     Time: 0:31:56
EP 146 - 230 timesteps - Cumulated R: 472   Eps=0.31     Time: 0:32:49
EP 147 - 128 timesteps - Cumulated R: 152   Eps=0.31     Time: 0:33:18
EP 148 - 247 timesteps - Cumulated R: 430   Eps=0.31     Time: 0:34:14
EP 149 - 240 timesteps - Cumulated R: 492   Eps=0.3     Time: 0:35:06
EP 150 - 152 timesteps - Cumulated R: 175   Eps=0.3     Time: 0:35:39
EP 151 - 689 timesteps - Cumulated R: 1623   Eps=0.3     Time: 0:38:12
EP 152 - 126 timesteps - Cumulated R: 127   Eps=0.3     Time: 0:38:40
EP 153 - 266 timesteps - Cumulated R: 527   Eps=0.29     Time: 0:39:38
EP 154 - 250 timesteps - Cumulated R: 431   Eps=0.29     Time: 0:40:31
EP 155 - 192 timesteps - Cumulated R: 342   Eps=0.29     Time: 0:41:12
EP 156 - 422 timesteps - Cumulated R: 1037   Eps=0.29     Time: 0:42:46
EP 157 - 521 timesteps - Cumulated R: 1258   Eps=0.29     Time: 0:44:39
EP 158 - 251 timesteps - Cumulated R: 573   Eps=0.28     Time: 0:45:33
EP 159 - 420 timesteps - Cumulated R: 988   Eps=0.28     Time: 0:47:02
EP 160 - 422 timesteps - Cumulated R: 990   Eps=0.28     Time: 0:48:35
EP 161 - 496 timesteps - Cumulated R: 1520   Eps=0.28     Time: 0:50:28
